Country_Name,Regional_Indicator,Continent,Year,Log_GDP_Per_Capita,Social_Support,Healthy_Life_Expectancy_At_Birth,Freedom_To_Make_Life_Choices,Perceptions_Of_Corruption,Life_Ladder,Generosity
Hong Kong S.A.R. of China,East Asia,Asia,2022,11.00173569,0.821088552,85.16,0.6686306,0.389589489,5.321550846,0.022380574
Hungary,Central and Eastern Europe,Europe,2022,10.48420715,0.937058866,67.65000153,0.775502026,0.848249376,5.861183167,-0.008475153
Iceland,Western Europe,Europe,2022,10.935112,0.984801114,72.07499695,0.935669005,0.692434132,7.448794365,0.221910581
India,South Asia,Asia,2022,8.849925041,0.608045101,61.20000076,0.893131018,0.770741999,3.929816246,0.089502126
Indonesia,Southeast Asia,Asia,2022,9.425395966,0.834076643,63.17499924,0.903250694,0.861708522,5.584685802,0.518823147
Iran,Middle East and North Africa,Middle East,2022,9.637630463,0.800070286,66.75,0.570203483,0.766079903,4.976995468,0.211653218
Ireland,Western Europe,Europe,2022,11.62491417,0.906079292,71.40000153,0.895009518,0.357812256,6.869863987,0.140264258
Israel,Middle East and North Africa,Middle East,2022,10.69227314,0.95365274,72.84999847,0.774947405,0.654698849,7.662397385,-0.004873357
Italy,Western Europe,Europe,2022,10.68542004,0.869363606,72.125,0.710519016,0.818708301,6.258476734,0.028278332
Ivory Coast,Sub-Saharan Africa,Africa,2022,8.611810684,0.536297083,56.52500153,0.713349819,0.742839873,4.84867382,-0.005134096
Jamaica,Latin America and Caribbean,South America,2022,9.198162079,0.868040681,66.59999847,0.874267519,0.909644067,5.87018919,-0.087598979
Japan,East Asia,Asia,2022,10.6361618,0.898649931,74.47499847,0.788856983,0.643009663,6.178009987,-0.235489145
Jordan,Middle East and North Africa,Africa,2022,9.13436985,0.774262011,67.59999847,0.759418666,0.714584589,4.355606556,-0.152944982
Kazakhstan,Commonwealth of Independent States,Asia,2022,10.18687248,0.923373282,66.19999695,0.882937968,0.720168531,6.006279469,0.02240829
Kenya,Sub-Saharan Africa,Africa,2022,8.499298096,0.690594971,58.90000153,0.705976129,0.877775729,4.447946548,0.294315904
Kosovo,Central and Eastern Europe,Europe,2022,9.415708542,0.887639105,76.85,0.864865899,0.845950305,6.159853458,0.211152077
Kyrgyzstan,Commonwealth of Independent States,Asia,2022,8.51677227,0.92697078,67.375,0.948361576,0.876154184,5.667840958,0.235982418
Laos,Southeast Asia,Asia,2022,8.96788311,0.649893284,61.09999847,0.927041471,0.668031454,4.926521778,0.040204596
Latvia,Central and Eastern Europe,Europe,2022,10.4066782,0.928089976,66.5,0.817082405,0.844229579,6.054838181,0.018949265
Lebanon,Middle East and North Africa,Middle East,2022,9.428472519,0.534528434,66.22499847,0.449575424,0.882995963,2.352427721,-0.125513852
Liberia,Sub-Saharan Africa,Africa,2022,7.276751995,0.596891046,56.70000076,0.731640577,0.828494132,4.04226017,0.154321343
Lithuania,Central and Eastern Europe,Europe,2022,10.60183716,0.937096536,67.75,0.709662259,0.684991181,7.037577152,-0.190841839
Luxembourg,Western Europe,Europe,2022,11.6599493,0.877916992,71.67500305,0.915109932,0.345176458,7.227934837,0.023949623
Madagascar,Sub-Saharan Africa,Africa,2022,7.29020977,0.642429352,58.04999924,0.523492694,0.740402877,4.019134045,0.07543768
Malawi,Sub-Saharan Africa,Africa,2022,7.295767784,0.503325164,58.75,0.743571639,0.754926443,3.355563402,0.020473713
Malaysia,Southeast Asia,Asia,2022,10.1785841,0.79405117,65.65000153,0.878362298,0.769417465,6.010391712,0.219777569
Mali,Sub-Saharan Africa,Africa,2022,7.645281792,0.641625226,55.79999924,0.817642868,0.745646715,4.210547924,-0.019203309
Malta,Western Europe,Europe,2022,4.525462216,0.932082772,71.65000153,0.837544084,0.757539809,6.299238205,0
